pc_title,id,price,heat,cpu,motherboard,ram,gpu,ssd,power,case
送Office 365個人版 Centralfield + i7-14700/RTX4070 SUPER/32GB/2TB - Powered by ASUS,KO20240139,13980, ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), Intel Core i7-14700 , Asus 華碩 Prime B760M-A D4 Micro-ATX 主機板 (DDR4), Kingston FURY BEAST 32GB 黑色套裝 (2x16GB) DDR4-3600C18 (KF436C18BBK2/32), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", ASUS 華碩 Prime AP201 Micro-ATX Case (黑色/Black)(玻璃側板)(AAP201G)
送Office 365個人版 Centralfield + i7-14700/RTX4070 SUPER/32GB/2TB - Powered by ASUS,KO20240139,13980, ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), Intel Core i7-14700 , Asus 華碩 Prime B760M-A D4 Micro-ATX 主機板 (DDR4), Kingston FURY BEAST 32GB 黑色套裝 (2x16GB) DDR4-3600C18 (KF436C18BBK2/32), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", ASUS 華碩 Prime AP201 Micro-ATX Case (黑色/Black)(玻璃側板)(AAP201G)
ANTEC C3 R7-9700X/RTX4070Ti SUPER/32GB/2T,KO20240071,14160, JONSBO 喬思伯 240 ARGB 水冷散熱器 (AIO)(黑色)(TG-240BK), AMD Ryzen7 9700X , Asus 華碩 TUF GAMING B850M-PLUS Micro-ATX 主機板 (DDR5), Corsair Vengeance 32GB 黑色套裝 (2x16GB) D5-6000C36 (CMK32GX5M2E6000Z36)(XMP/EXPO), ZOTAC GAMING 索泰 GeForce RTX 4070 Ti SUPER Trinity Black 16GB GDDR6X 顯示卡(ZT-D40730D-10P), Kingston KC3000 2048GB Gen 4 M.2 SSD (SKC3000D/2048G)," Antec 安鈦克 850W/NeoECO NE850G M 金牌全模组白色火牛,7年保用 80PLUS Gold", Antec 安鈦克 C5 Black ATX Case (黑色/Black)(附送7把 PWM ARGB 風扇)(支援背插式主機板)
CORSAIR主題組合 i7-14700/RTX4070Ti SUPER/32GB/1T,ko20240050,14310, Corsair 海盜船 NAUTILUS 240 RS ARGB 液體 CPU 散熱器 (黑色)(AIO)(CW-9060092-WW)(最新產品), Intel Core i7-14700 , ASRock 華擎 Z790 PG Sonic ATX 主機板 (DDR5), Corsair Vengeance RGB 32GB 白色套裝 (2x16GB) D5-6000C40 (CMH32GX5M2B6000C40W), Inno3D 映眾 GeForce RTX 4070 Ti SUPER X3 OC 超頻版 16GB GDDR6X 顯示卡, Corsair MP600 CORE XT 1TB Gen 4 M.2 SSD (CSSD-F1000GBMP600CXT)," Corsair 海盜船 850W/RM850e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020263-UK)", Corsair 海盜船 4000D ATX Case (白色/White)(CC-9011199-WW)
Centralfield + Ryzen AI入門組合 R7-7700/RTX4070TI SUPER/32GB/1TB - Powered by ASUS,KO20240115,14380, ARCTIC P12 PWM PST 12cm Fan (單把黑色/Black)(872767009271) x1 ;  ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), AMD Ryzen7 7700 , Asus 華碩 TUF GAMING B650-PLUS WiFi ATX 主機板 (DDR5/Wi-Fi/藍牙), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-5600C36 (AX5U5600C3616G-DCLARBK)(XMP/EXPO), ASUS 華碩 Prime GeForce RTX 4070 Ti SUPER 16GB GDDR6X 顯示卡, Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," Corsair 海盜船 850W/RM850e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020263-UK)", Antec 安鈦克 P20C ATX Case (黑色/Black)(玻璃側板)(附送3把風扇)(0-761345-80103-4)
Corsair iCUE 2000D Airflow R7-9700X/RTX4070 SUPER/32GB/2T,KO20240118,14460, Corsair 海盜船 NAUTILUS 360 RS ARGB 液體 CPU 散熱器 (黑色)(AIO)(CW-9060093-WW)(最新產品) x1 ;  Corsair 海盜船 iCUE QL120 x 3 RGB PWM 12cm Fan(3把黑色套裝/Lighting Node CORE)(CO-9050098-WW), AMD Ryzen7 9700X , MSI MPG B650I EDGE WiFi ITX 主機板 (DDR5/Wi-Fi/藍牙), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-5600C36 (AX5U5600C3616G-DCLARBK)(XMP/EXPO), ZOTAC GAMING 索泰 GeForce RTX 4070 SUPER Twin Edge OC 超頻版 White 12GB GDDR6X 白色顯示卡(ZT-D40720Q-10M), Corsair MP600 CORE XT 2TB Gen 4 M.2 SSD (CSSD-F2000GBMP600CXT)," Corsair 海盜船 1000W/SF1000L ATX 3.0 金牌全模組細火牛,7年保用 80PLUS Gold (PCIe 5.0)(SFX-L)(CP-9020246-UK)", Corsair 海盜船 2000D Airflow ITX PC Case (黑色/Black)(CC-9011244-WW)
Corsair 4000D i7-14700/RTX4070Ti SUPER/32GB/2TB,KO20240131,14480, Corsair 海盜船 NAUTILUS 240 RS ARGB 液體 CPU 散熱器 (黑色)(AIO)(CW-9060092-WW)(最新產品), Intel Core i7-14700 , Asus 華碩 ROG Strix B760-G Gaming WiFi Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙), Corsair Vengeance RGB 32GB 白色套裝 (2x16GB) D5-6400C36 (CMH32GX5M2B6400C36W)(Intel XMP), Manli 萬利達 GeForce RTX 4070Ti SUPER Triple Cooler Polar Fox series 16GB GDDR6X 顯示卡, Corsair MP600 CORE XT 2TB Gen 4 M.2 SSD (CSSD-F2000GBMP600CXT)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", Corsair 海盜船 4000D ATX Case (白色/White)(CC-9011199-WW)
Centralfield + AI 入門組合 i7-14700K/RTX4070TI SUPER/32GB/2TB,KO20240032,14580, ARCTIC P12 PWM PST 12cm Fan (單把黑色/Black)(872767009271) x1 ;  JONSBO 喬思伯 240 ARGB 水冷散熱器 (AIO)(黑色)(TG-240BK), Intel Core i7-14700K , Asus 華碩 TUF Gaming B760M-Plus II Micro-ATX 主機板 (DDR5), Biwin Black Opal HX100 32GB 銀色套裝 (2x16GB) D5-6000C30 (RM-BH5D32W)(EXPO/XMP), ASUS 華碩 ROG Strix GeForce RTX 4070 Ti SUPER OC 超頻版 16GB GDDR6X 顯示卡, Kingston NV3 2TB Gen 4 M.2 SSD (SNV3S/2000G)(隨附 Acronis 備份軟體)," Corsair 海盜船 850W/RM850e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020263-UK)", Antec 安鈦克 P20C ATX Case (黑色/Black)(玻璃側板)(附送3把風扇)(0-761345-80103-4)
Centralfield + R5-7600X/RTX4070 SUPER/32GB/2TB - Powered by ASUS,KO20240168,14780, ASUS 華碩 Prime LC 360 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC36A) x1 ;  ASUS 華碩 TUF Gaming TR120 ARGB 12cm Fan x3(三把盒裝黑色)(TH-ATTR36A), AMD Ryzen5 7600X , Asus 華碩 ROG STRIX B850-I GAMING WiFi ITX 主機板 (DDR5/Wi-Fi/藍牙), G.Skill Flare X5 32GB 黑色烈焰槍套裝 (2x16GB) D5-5600C36 (F5-5600J3636C16GX2-FX5)(AMD EXPO), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, ADATA Legend 710 2TB Gen 3 M.2 SSD (ALEG-710-2TCS)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", Corsair 海盜船 2000D Airflow ITX PC Case (黑色/Black)(CC-9011244-WW)
S.T.A.L.K.E.R. 2: Heart of Chornobyl 主流爽快組合 R7-9700X/RTX4070Ti SUPER/64GB/2TB,KO20240137,14830, MSI MAG CoreLiquid E240 RGB 水冷散熱器 (黑色)(AIO)(MACLE24), AMD Ryzen7 9700X , MSI B650M GAMING WiFi Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙 Bluetooth® 5.3), ADATA XPG Lancer RGB 64GB 黑色套裝 (2x32GB) D5-5600C36 (AX5U5600C3632G-DCLARBK)(XMP/EXPO), MSI 微星 GeForce RTX 4070 Ti SUPER Gaming Slim Stalker 2 16GB GDDR6X 顯示卡, Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," MSI 微星 750W/MAG A750GL 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(PS-MPA75GL)", Antec 安鈦克 CX500M ARGB Micro-ATX Case (黑色/Black)(內置3把ARGB 風扇)
